power,cap,depth,n_features,test_ic,val_ic,gap,stability,time_s
1.7,175,6,175,0.06083956010647682,0.06437734595049917,0.0035377858440223467,-0.0210623003426518,9.119184494018555
1.3,75,8,75,0.06066746221116622,0.08595349506933996,0.025286032858173733,-0.003362079348887721,9.082425117492676
1.4,175,7,175,0.06038250950051693,0.06876551308072626,0.008383003580209332,0.04010983966028871,9.748994588851929
1.7,75,6,75,0.06026488175312636,0.09037399064120424,0.030109108888077885,-0.0738778876628313,8.172529458999634
1.4,75,7,75,0.0601176441455248,0.08633271074846133,0.02621506660293653,0.0543785486163533,8.628215551376343
1.4,125,8,125,0.059987314880137976,0.06791340746339089,0.007926092583252914,-0.050827552979763345,9.577714204788208
1.6,125,6,125,0.059823112159816935,0.06638261333401896,0.006559501174202023,-0.09646176390440021,8.332731246948242
1.4,200,7,200,0.059749298848475366,0.06610796688893678,0.00635866804046141,-0.026286300691112437,10.32983136177063
1.6,175,8,175,0.05951564396797733,0.054966439118719304,0.0,-0.03138688414597117,10.09149432182312
1.2,175,6,175,0.0592210457847275,0.06101223973514055,0.0017911939504130503,-0.006930955219844246,8.949179887771606
1.3,150,7,150,0.059060026162125946,0.06852332309064837,0.009463296928522429,-0.0023568718060352095,9.569619178771973
1.4,100,7,100,0.058813080550982166,0.07094019384291753,0.01212711329193536,-0.031331614241928804,8.874656200408936
1.4,200,6,200,0.05876604205127868,0.06670215205141046,0.00793611000013178,-0.01689188550939042,9.543476581573486
1.4,175,6,175,0.05866065528476548,0.06772827156307643,0.009067616278310944,0.03132333263430552,9.184410810470581
1.7,100,6,100,0.0579754200973843,0.0759938527586105,0.018018432661226193,-0.07593854035677271,8.200781106948853
1.6,75,7,75,0.05742462622364322,0.07623209419366747,0.01880746797002425,-0.049384056427570655,8.563071012496948
1.3,200,7,200,0.05609628400663299,0.06375220419491719,0.007655920188284197,0.25331451242427366,10.391513347625732
1.2,175,7,175,0.054944856133977815,0.059466284890055086,0.004521428756077271,-0.007477004865716826,9.721555948257446
1.7,125,6,125,0.05453210084115364,0.07467081360995367,0.020138712768800034,-0.14628471192255188,8.595921993255615
1.7,100,7,100,0.05450422207179435,0.07536334860901445,0.020859126537220093,-0.0541848367625895,8.656382083892822
1.5,200,7,200,0.05439123376081864,0.05445250702395067,6.127326313203063e-05,0.09090270925612288,10.394078731536865
1.3,200,8,200,0.05393796596627464,0.06435633888055149,0.01041837291427685,0.1680853976338591,11.157824754714966
1.6,125,7,125,0.05385374086778716,0.0655460821988598,0.011692341331072637,-0.06874259145180071,8.889868259429932
1.2,200,6,200,0.05385208839512453,0.06919284207190146,0.015340753676776932,0.2466676663343002,9.572214841842651
1.4,175,8,175,0.05316568387938802,0.06707908538689458,0.013913401507506563,0.05019057318790837,10.325953722000122
1.5,150,8,150,0.05310276621472151,0.06585135127910292,0.012748585064381417,0.16406607043114357,10.187988758087158
1.5,125,6,125,0.053042665717475054,0.06576495407617859,0.012722288358703537,0.006030107635999213,8.432483434677124
1.5,200,8,200,0.05242860387070913,0.050332793974162,0.0,0.02426434755915001,10.8192720413208
1.5,125,7,125,0.05235852934114725,0.0697258462647114,0.01736731692356415,0.05087991424876697,9.033636331558228
1.7,100,8,100,0.051621976960155,0.07222151092084522,0.020599533960690225,-0.04283280992932879,9.155600547790527
1.3,200,6,200,0.05104215185549672,0.06903432023846214,0.017992168382965412,0.23934892067609698,9.669240236282349
1.5,125,8,125,0.05096011973267833,0.06743682870674368,0.01647670897406535,0.07327820941110129,9.541446924209595
1.3,175,6,175,0.05059458772602906,0.05429592809609062,0.003701340370061562,0.15184235641798974,9.003060102462769
1.7,125,7,125,0.049102663067137294,0.07309195844139098,0.023989295374253684,-0.08210214330286408,9.003554582595825
1.2,200,7,200,0.04825272022096299,0.06913771404136576,0.02088499382040277,0.21441307127510126,10.257372379302979
1.4,100,8,100,0.04742489354345197,0.06723477831616188,0.019809884772709917,-0.02408136616236681,9.333948135375977
1.5,150,7,150,0.04724665405335128,0.06817933271826558,0.0209326786649143,0.15558498341286195,9.544044494628906
1.3,150,8,150,0.04674453792472816,0.06736721562862118,0.02062267770389302,-0.1334059837796431,10.194071769714355
1.7,125,8,125,0.04523277545183085,0.07334646792345849,0.028113692471627635,-0.08130660665768849,9.570137739181519
1.6,125,8,125,0.04235943105982062,0.06585293737204899,0.023493506312228372,-0.06858041558366765,9.512181520462036
1.3,175,8,175,0.04088240053733219,0.05394633236209429,0.0130639318247621,0.06563097409490243,10.369391202926636
1.3,175,7,175,0.04042878409624485,0.05363387830022107,0.013205094203976225,0.13384178561102816,9.6074857711792
