,period_0,period_1,period_2,mean,std,stability,rank_stability,rank_mean
vol_120d,0.0063318945,0.00397744,0.0035480673,0.004619134,0.0012237243,412.57092,104,109
atr_ratio_7v21,0.0063536232,0.004572652,0.0032940325,0.004740102,0.0012546722,405.77603,105,101
section_vs_univ_60d,0.00680567,0.004723489,0.0036524942,0.005060551,0.0013091569,403.00653,106,78
shares_outstanding_z60,0.005175183,0.0038877872,0.002449262,0.0038374106,0.0011134226,402.45413,107,145
rsi_14,0.0032738128,0.0063892733,0.004718033,0.004793707,0.0012730066,400.36816,108,95
ret_20d,0.0039233305,0.0032923932,0.0061831134,0.004466279,0.0012410105,389.51816,109,115
volume_z120,0.0067304634,0.0036515596,0.0041340324,0.004838685,0.0013521129,364.75858,110,94
so_breadth_pos,0.0031374556,0.0056167245,0.0064061657,0.0050534485,0.0013926177,362.3045,111,79
mom_x_dd_60,0.0074304077,0.0054615713,0.003776451,0.0055561434,0.0014932198,353.80438,112,43
rsi_x_mom_20d,0.006851607,0.004241721,0.0035028537,0.0048653935,0.0014364918,330.90454,113,92
dxy_cross_20v60,0.0027493327,0.004124954,0.0060223527,0.0042988798,0.0013418526,328.2897,114,124
ret_60d_rank,0.008691155,0.005388886,0.004664621,0.006248221,0.0017525385,303.05515,115,16
mom2_60d,0.008473991,0.004699799,0.0048459326,0.0060065743,0.0017457469,293.26404,116,24
atr_21,0.0061301826,0.0034156588,0.007577384,0.005707742,0.001725076,284.3744,117,37
drawdown_60_z_xs,0.008745192,0.005532939,0.0041972753,0.006158469,0.0019086385,258.3703,118,21
mom_x_vix,0.007466568,0.004345555,0.00346449,0.005092204,0.0017170268,255.7319,119,75
ret_vs_mkt,0.005054426,0.006236727,0.009959546,0.0070835664,0.0020901202,254.66013,120,3
sharpe_x_so_20d,0.0068894387,0.0028772808,0.004026685,0.0045978012,0.001687006,237.93158,121,111
sharpe_120d,0.0049980115,0.009433691,0.0050570094,0.0064962376,0.0020772333,236.01361,122,12
rsi_5,0.009540724,0.004486288,0.005899016,0.0066420087,0.002129297,231.36516,123,7
vol_20d,0.008499257,0.003708323,0.00496784,0.00572514,0.0020278709,216.67946,124,35
bb_x_volsurge,0.007871564,0.004108847,0.0035246846,0.005168365,0.0019262698,213.46869,125,67
ret_5d_rank,0.0032490643,0.0054122736,0.0015318111,0.0033977164,0.0015876755,194.9361,126,166
universe_disp_60d,0.0054702032,0.010743335,0.005295058,0.007169532,0.0025280716,186.53012,127,2
yc_cross_20v60,0.00875031,0.004689707,0.003567378,0.005669132,0.00222638,183.06187,128,40
price_vs_ma200,0.0063944506,0.0050254986,0.001798917,0.0044062887,0.0019265336,181.95033,129,117
ret_20d_vs_univ,0.0052900882,0.0013482445,0.00510606,0.0039147977,0.0018163815,178.6724,130,142
sharpe_20d_z_xs,0.0060180966,0.0039991247,0.010246684,0.0067546354,0.0026031858,167.20268,131,6
hl_position_20,0.010207161,0.00462459,0.0048089135,0.0065468885,0.0025892977,163.54065,132,10
current_dd,0.01027885,0.0053090695,0.00429072,0.006626213,0.00261605,162.65494,133,8
vol_20d_z_xs,0.009244497,0.005392406,0.0030767082,0.005904537,0.0025438964,151.99768,134,28
GLD_dvol_z20,0.0030442872,0.0026702385,0.0,0.0019048419,0.0013555553,142.9749,135,219
rsi_14v60,0.0043484713,0.004612275,0.010837063,0.00659927,0.002998507,128.45688,136,9
shares_outstanding_z5,0.0,0.003703666,0.0027862864,0.0021633173,0.0015748764,125.83497,137,216
so_cross_20v120,0.004026728,0.0037153258,0.0099778855,0.0059066466,0.0028816063,123.01617,138,27
rot_cross_5v60,0.0034019845,0.0038127818,0.0,0.002404922,0.0017087864,121.76764,139,209
vol_ratio_5v60,0.0,0.003663911,0.0036845107,0.002449474,0.00173206,121.203735,140,208
ret_1d,0.0,0.0026741053,0.003929657,0.0022012542,0.001638748,119.673965,141,213
bb_position_60,0.0,0.0043089413,0.0033267003,0.002545214,0.00184387,113.23558,142,206
atr_14,0.0,0.0041162246,0.004069979,0.0027287344,0.001929599,112.374405,143,201
volume_z5,0.0,0.0040427134,0.004468262,0.0028369918,0.0020135648,108.67175,144,196
rotation_z10,0.004188023,0.0,0.004557462,0.0029151617,0.0020668409,106.8171,145,193
ret_20d_vs_section,0.0,0.004704684,0.003716097,0.002806927,0.0020254145,106.45293,146,198
volume_z10,0.004622221,0.0,0.0030532249,0.0025584819,0.0019191682,106.33845,147,205
price_vs_ma50,0.0,0.003478884,0.0047207335,0.0027332057,0.0019980588,106.0812,148,200
yield_curve_velocity_20,0.004441937,0.004448981,0.0,0.002963639,0.0020956115,106.07111,149,188
vol_ratio_20v120,0.0044571874,0.004575623,0.0,0.0030109368,0.0021296027,104.85622,150,185
volume_z60,0.0,0.0048474157,0.0038833043,0.0029102399,0.0020951533,104.19864,151,194
spx_vol_20d,0.0,0.0043825493,0.0048059165,0.003062822,0.002172628,103.097176,152,182
rank_change_20d,0.0,0.0040548807,0.004909013,0.0029879648,0.0021413912,103.08427,153,186
so_price_divergence,0.0048844386,0.0,0.004201637,0.003028692,0.0021596737,102.99008,154,184
universe_mean_20d,0.0035190652,0.0,0.0049194964,0.0028128538,0.0020695268,102.84104,155,197
ma_100_slope,0.0,0.0045502405,0.0048459508,0.003132064,0.0022179915,101.78856,156,179
vol_cross_20v120,0.0,0.004996167,0.004164184,0.0030534503,0.002185668,101.741425,157,183
mom_x_dxy,0.0,0.004459429,0.0049148607,0.0031247633,0.0022173503,101.60122,158,180
bb_position_20_z_xs,0.0,0.0049764276,0.0044853594,0.0031539288,0.0022391574,100.85749,159,177
mom60_x_vix,0.0,0.005109824,0.0044752657,0.00319503,0.0022740313,99.52246,160,176
dxy_z60,0.0,0.003705307,0.005158544,0.0029546171,0.0021718342,99.51671,161,189
rank_change_60d,0.0051159817,0.0044964384,0.0,0.00320414,0.002279743,99.38151,162,175
so_ret_60d,0.0,0.0050723623,0.0031026134,0.0027249919,0.0020879277,98.140686,163,202
yc_cross_5v20,0.0,0.0046392735,0.005189428,0.0032762338,0.0023275092,98.09788,164,172
dxy_cross_5v20,0.0,0.0035665117,0.005255513,0.002940675,0.0021907163,97.600204,165,191
vix_cross_20v60,0.0,0.004895168,0.005261493,0.0033855538,0.0023986145,96.31569,166,168
rsi_7v21,0.0054561333,0.0048446045,0.0,0.0034335793,0.0024407092,94.83529,167,163
ma50_vs_ma200,0.0,0.003908436,0.005551754,0.0031533968,0.002328527,94.34971,168,178
yield_curve_z5,0.0055411793,0.0051973164,0.0,0.0035794985,0.0025349776,92.69713,169,151
shares_outstanding_z120,0.0057148165,0.0048110997,0.0,0.0035086386,0.0025082643,92.5133,170,160
section_code,0.0,0.0038586115,0.005780448,0.00321302,0.0024036067,91.08478,171,174
dxy_ret_5d,0.0,0.003349534,0.005610316,0.0029866167,0.0023047333,90.93362,172,187
ret_60d_rank_extreme,0.0,0.0059654345,0.0047418647,0.0035690998,0.0025726946,90.136116,173,155
hl_position_60,0.0,0.0044026976,0.0061716875,0.0035247952,0.0025949266,87.724594,174,159
ma20_vs_ma100,0.0044318885,0.0063010436,0.0,0.003577644,0.0026423584,86.33986,175,154
ret_60d,0.0,0.0037011977,0.00611855,0.0032732494,0.0025161502,85.84738,176,173
drawdown_20,0.0042805537,0.006312873,0.0,0.0035311424,0.0026311348,85.83651,177,156
TLT_dvol_z20,0.006214772,0.0,0.003915976,0.003376916,0.002565643,85.68144,178,169
atr_7,0.0062448885,0.00388384,0.0,0.003376243,0.0025746068,85.15796,179,170
price_vs_ma100,0.0064848,0.0,0.00503786,0.0038408868,0.0027794144,85.05718,180,144
vol_cross_20v60,0.0029747589,0.005813472,0.0,0.0029294102,0.0023735566,84.840065,181,192
XLK_dvol_z20,0.00624895,0.005988737,0.0,0.0040792287,0.0028864061,84.71699,182,136
drawdown_250,0.0,0.0039138487,0.006334517,0.003416122,0.0026098948,84.19269,183,165
rsi_21,0.006380477,0.0059522334,0.0,0.0041109035,0.0029121004,84.09818,184,134
ret_120d_z_xs,0.0,0.006035021,0.0065175095,0.0041841767,0.0029652095,83.00724,185,130
ma_20_slope,0.0056852973,0.0066570854,0.0,0.0041141273,0.002936055,83.00012,186,133
mom_ratio_20v60,0.0,0.0038493709,0.006448856,0.0034327423,0.002649166,82.481346,187,164
yield_curve,0.0,0.0037299288,0.0064572785,0.0033957355,0.0026467433,81.71916,188,167
sharpe_20d,0.0,0.0050318576,0.006855107,0.0039623217,0.0028989716,81.68365,189,139
dxy_z5,0.00666434,0.003922514,0.0,0.0035289514,0.002734901,80.32395,190,157
spx_drawdown_60,0.0,0.006752962,0.0041270396,0.003626667,0.0027794966,80.309204,191,150
ret_60d_z_xs,0.006999764,0.0047854236,0.0,0.003928396,0.0029211924,79.93981,192,141
ret_20d_rank,0.0062249834,0.0,0.0029756168,0.0030668667,0.002542158,79.040695,193,181
shares_outstanding_z10,0.006775344,0.0037428502,0.0,0.0035060646,0.0027710854,78.03963,194,161
vix_reversion_force,0.004391593,0.00097501435,0.0,0.001788869,0.0018829572,76.798004,195,221
yield_curve_velocity,0.0,0.0073734894,0.004889113,0.0040875343,0.003063112,76.73343,196,135
shares_outstanding_z20_rank,0.0065296246,0.0,0.007829194,0.004786273,0.0034257385,74.287445,197,97
ret_120d_z_xs_sq,0.0,0.0,0.0027645808,0.0009215269,0.0013032359,73.95525,198,237
so_x_mom_20d,0.0060371934,0.0022713835,0.0,0.0027695254,0.002489717,73.9521,199,199
sharpe_60d,0.0,0.0027655857,0.0,0.0009218619,0.0013037096,73.93645,200,236
so_cross_5v20,0.0,0.0076118372,0.004207422,0.003939753,0.0031132782,71.94467,201,140
ret_20d_z_xs_sq,0.0,0.003917831,0.007473243,0.0037970245,0.0030521343,71.71621,202,147
kurtosis_20,0.008012761,0.0,0.004982775,0.0043318453,0.0033034193,71.521194,203,120
vix_cross_5v60,0.0,0.0060361098,0.0020767972,0.0027043025,0.0025038605,71.51846,204,203
yield_curve_z60,0.0079766195,0.0046523176,0.0,0.0042096456,0.0032714505,70.66218,205,127
dxy_ret_20d,0.0,0.0,0.003021757,0.0010072523,0.0014244699,69.49088,206,235
vix_squared,0.0,0.0,0.0031132523,0.0010377507,0.0014676012,68.05492,207,234
ret_20d_z_xs,0.0,0.005049667,0.008489916,0.0045131943,0.003486691,67.98002,208,113
shares_outstanding_z20,0.007972669,0.003980975,0.0,0.003984548,0.0032548294,67.465416,209,138
