run,total_return_pct,ann_gross_pct,net_return_pct,net_ann_pct,net_final,sharpe,max_dd_pct
39,625.0084877393533,33.629968786475175,379.3020863736784,25.777038224337968,718953.1295605176,1.5683234238864117,-24.570723129847472
40,538.5033939274844,31.168261497917825,337.800463484552,24.1210097636857,656700.695226828,1.501688020412294,-22.63171521008488
41,726.8871249126116,36.226131503314974,450.92892225861,28.36688736365145,826393.383387915,1.6788026245426908,-19.7814827671965
42,613.1839575004723,33.30878361263989,369.2433850262633,25.38725335308889,703865.077539395,1.6009112579726215,-23.277496772607343
43,436.2905046128541,27.86199582755229,271.38705824057945,21.168374784872835,557080.5873608692,1.394317261370667,-23.919709677941437
44,610.5899053497857,33.23771488626364,371.1223748017002,25.460604340616165,706683.5622025502,1.5409741036206817,-19.208006547176126
45,449.30066897415924,28.311297538888812,289.6682920493476,22.02341654521649,584502.4380740214,1.4725046587836772,-21.818565586725413
46,956.083955839139,41.19181742368014,534.7563788775587,31.05533163427152,952134.5683163382,1.8766729808488791,-21.892456178567244
47,655.3330851321385,34.43367602024856,395.7930143171131,26.401223736901926,743689.5214756697,1.6223700077509422,-22.535889754567194
48,541.373962773964,31.254394392899986,320.67768871852877,23.398442979159718,631016.5330777931,1.508411049062306,-21.041568100014384
49,768.8774802490902,37.2172044140366,456.558798001444,28.55802101434801,834838.1970021661,1.7628108011131096,-22.18214652538013
50,649.6149728830355,34.284259967368854,407.26674744161517,26.825132868992707,760900.1211624228,1.6780967655014583,-22.126184035299843
